# energy dos(up) dos(down)
-1.305345810000000029e+01 2.570000000000000062e-01 -2.570000000000000062e-01
-1.304555810000000093e+01 2.581999999999999851e-01 -2.581999999999999851e-01
-1.303755810000000004e+01 2.596999999999999864e-01 -2.596999999999999864e-01
-1.302965809999999891e+01 2.612999999999999767e-01 -2.612999999999999767e-01
-1.302175809999999956e+01 2.631000000000000005e-01 -2.631000000000000005e-01
-1.301375810000000044e+01 2.650000000000000133e-01 -2.650000000000000133e-01
-1.300585809999999931e+01 2.667999999999999816e-01 -2.667999999999999816e-01
-1.299795809999999996e+01 2.686000000000000054e-01 -2.686000000000000054e-01
-1.298995809999999906e+01 2.705000000000000182e-01 -2.705000000000000182e-01
-1.298205809999999971e+01 2.722999999999999865e-01 -2.722999999999999865e-01
-1.297415810000000036e+01 2.741000000000000103e-01 -2.741000000000000103e-01
-1.296615809999999946e+01 2.758999999999999786e-01 -2.758999999999999786e-01
-1.295825810000000011e+01 2.777000000000000024e-01 -2.777000000000000024e-01
-1.295035809999999898e+01 2.796000000000000152e-01 -2.796000000000000152e-01
-1.294235809999999987e+01 2.816000000000000170e-01 -2.816000000000000170e-01
-1.293445810000000051e+01 2.837000000000000077e-01 -2.837000000000000077e-01
-1.292655809999999938e+01 2.857999999999999985e-01 -2.857999999999999985e-01
-1.291855810000000027e+01 2.879999999999999782e-01 -2.879999999999999782e-01
-1.291065809999999914e+01 2.902000000000000135e-01 -2.902000000000000135e-01
-1.290275809999999979e+01 2.923000000000000043e-01 -2.923000000000000043e-01
-1.289475810000000067e+01 2.944999999999999840e-01 -2.944999999999999840e-01
-1.288685809999999954e+01 2.967000000000000193e-01 -2.967000000000000193e-01
-1.287895810000000019e+01 2.988999999999999990e-01 -2.988999999999999990e-01
-1.287095809999999929e+01 3.010999999999999788e-01 -3.010999999999999788e-01
-1.286305809999999994e+01 3.033000000000000140e-01 -3.033000000000000140e-01
-1.285515810000000059e+01 3.054999999999999938e-01 -3.054999999999999938e-01
-1.284715809999999969e+01 3.076999999999999735e-01 -3.076999999999999735e-01
-1.283925810000000034e+01 3.099000000000000088e-01 -3.099000000000000088e-01
-1.283135809999999921e+01 3.120999999999999885e-01 -3.120999999999999885e-01
-1.282335810000000009e+01 3.143000000000000238e-01 -3.143000000000000238e-01
-1.281545810000000074e+01 3.165000000000000036e-01 -3.165000000000000036e-01
-1.280755809999999961e+01 3.185999999999999943e-01 -3.185999999999999943e-01
-1.279965810000000026e+01 3.202999999999999736e-01 -3.202999999999999736e-01
-1.279165809999999937e+01 3.219000000000000195e-01 -3.219000000000000195e-01
-1.278375810000000001e+01 3.230999999999999983e-01 -3.230999999999999983e-01
-1.277585810000000066e+01 3.245000000000000107e-01 -3.245000000000000107e-01
-1.276785809999999977e+01 3.261000000000000010e-01 -3.261000000000000010e-01
-1.275995810000000041e+01 3.276999999999999913e-01 -3.276999999999999913e-01
-1.275205809999999929e+01 3.294000000000000261e-01 -3.294000000000000261e-01
-1.274405810000000017e+01 3.311000000000000054e-01 -3.311000000000000054e-01
-1.273615810000000081e+01 3.327999999999999847e-01 -3.327999999999999847e-01
-1.272825809999999969e+01 3.343999999999999750e-01 -3.343999999999999750e-01
-1.272025810000000057e+01 3.360000000000000209e-01 -3.360000000000000209e-01
-1.271235809999999944e+01 3.376000000000000112e-01 -3.376000000000000112e-01
-1.270445810000000009e+01 3.392000000000000015e-01 -3.392000000000000015e-01
-1.269645810000000097e+01 3.407999999999999918e-01 -3.407999999999999918e-01
-1.268855809999999984e+01 3.423999999999999821e-01 -3.423999999999999821e-01
-1.268065810000000049e+01 3.441000000000000170e-01 -3.441000000000000170e-01
-1.267265809999999959e+01 3.457999999999999963e-01 -3.457999999999999963e-01
